0.0,0,-0.54,0
1e-06,10,-1.14,0
2e-06,10,-1.54,0
3e-06,10,-1.54,0
4e-06,0,-0.9,0
5e-06,0,-0.14,0
6e-06,-10,0.5,0
7e-06,-10,1.18,0
8e-06,-10,1.54,0
9e-06,0,1.46,0
1e-05,0,0.74,0
1.1e-05,0,-0.02,0
1.2e-05,10,-0.62,0
1.3e-05,10,-1.3,0
1.4e-05,10,-1.58,0
1.5e-05,0,-1.46,0
1.6e-05,0,-0.66,0
1.7e-05,0,0.06,0
1.8e-05,-10,0.7,0
1.9e-05,-10,1.34,0
2e-05,-10,1.58,0
2.1e-05,0,1.34,0
2.2e-05,0,0.54,0
2.3e-05,0,-0.22,0
2.4e-05,10,-0.82,0
2.5e-05,10,-1.46,0
2.6e-05,10,-1.58,0
2.7e-05,0,-1.26,0
2.8e-05,0,-0.46,0
2.9e-05,0,0.22,0
3e-05,-10,0.9,0
3.1e-05,-10,1.42,0
3.2e-05,-10,1.58,0
3.3e-05,0,1.14,0
3.4e-05,0,0.34,0
3.5e-05,0,-0.38,0
3.6e-05,10,-1.02,0
3.7e-05,10,-1.5,0
3.8e-05,10,-1.58,0
3.9e-05,0,-1.06,0
4e-05,0,-0.26,0
4.1e-05,0,0.34,0
4.2e-05,-10,1.02,0
4.3e-05,-10,1.46,0
4.4e-05,-10,1.54,0
4.5e-05,0,0.94,0
4.6e-05,0,0.14,0
4.7e-05,0,-0.54,0
4.8e-05,10,-1.14,0
4.9e-05,10,-1.54,0
5e-05,10,-1.54,0
5.1e-05,0,-0.9,0
5.2e-05,0,-0.14,0
5.3e-05,-10,0.5,0
5.4e-05,-10,1.18,0
5.5e-05,-10,1.54,0
5.6e-05,0,1.46,0
5.7e-05,0,0.74,0
5.8e-05,0,-0.02,0
5.9e-05,10,-0.62,0
6e-05,10,-1.3,0
6.1e-05,10,-1.58,0
6.2e-05,0,-1.5,0
6.3e-05,0,-0.7,0
6.4e-05,0,0.06,0
6.5e-05,-10,0.7,0
